gene_id,DRR316901,DRR316902,DRR316903,DRR316904,DRR316905,DRR316906
gene-ptpra|ptpra,0,0,0,0,0,0
gene-camk2d|camk2d,0,0,0,0,0,0
gene-tet2|tet2,0,0,0,0,0,0
gene-ank2|ank2,0,0,0,0,0,8
gene-LOC116411088|LOC116411088,0,0,0,0,0,0
gene-atoh1|atoh1,3,0,0,2,2,2
gene-LOC116408503|LOC116408503,0,0,0,0,0,0
gene-eif4e|eif4e,4,3,5,3,2,5
gene-ppp3ca|ppp3ca,40,74,67,74,50,54
gene-g3bp2|g3bp2,0,0,0,0,0,0
gene-ankrd17|ankrd17,0,0,0,0,0,0
gene-hnrnpdl|hnrnpdl,0,0,0,0,0,0
gene-hnrnpd|hnrnpd,69,82,48,68,64,45
gene-ythdc1|ythdc1,0,0,0,0,0,0
gene-cnot6l|cnot6l,0,0,0,0,0,0
gene-mapk10|mapk10,0,0,0,0,0,0
gene-ccng2|ccng2,0,0,0,0,0,0
gene-elp1|elp1,0,0,0,0,0,0
gene-kcmf1|kcmf1,107,100,106,92,86,107
gene-antxr2|antxr2,123,54,57,61,34,98
gene-ppp2cb|ppp2cb,0,0,0,0,0,0
gene-nrg1|nrg1,0,0,0,0,0,0
gene-upf1|upf1,0,0,0,0,0,0
gene-LOC116408565|LOC116408565,1,0,0,0,0,0
gene-dazap1|dazap1,41,0,36,0,65,28
gene-ptbp1|ptbp1,0,0,0,0,0,0
gene-oaz1|oaz1,0,0,0,0,0,1056
gene-dot1l|dot1l,0,0,0,0,0,0
gene-crlf1|crlf1,0,0,0,0,0,0
gene-clta|clta,0,0,0,0,0,0
gene-ptbp3|ptbp3,0,0,0,0,0,0
gene-ano8|ano8,0,0,0,0,0,0
gene-rnf38|rnf38,0,0,0,0,5,0
gene-celf5|celf5,0,0,0,0,0,0
gene-elavl2|elavl2,0,0,0,0,0,0
gene-zdhhc21|zdhhc21,9,0,0,6,5,14
gene-slc44a1|slc44a1,0,0,0,0,0,0
gene-bnc2|bnc2,0,0,0,0,0,0
gene-nfib|nfib,26,24,22,17,22,27
gene-LOC116406525|LOC116406525,0,0,0,0,0,0
gene-kdm4c|kdm4c,0,0,0,0,0,0
gene-rfx3|rfx3,0,0,0,0,0,0
gene-smarca2|smarca2,0,0,0,0,0,0
gene-zfand5|zfand5,0,0,0,0,0,0
gene-hnrnpk|hnrnpk,59,22,48,44,27,46
gene-mir7-1|mir7-1,0,0,0,0,0,0
gene-tle4|tle4,0,0,0,0,0,0
gene-znf219|znf219,0,0,0,0,0,0
gene-ndrg2|ndrg2,0,0,0,0,0,0
gene-smtn|smtn,0,0,0,0,0,0
gene-tbx3|tbx3,0,0,0,0,0,0
gene-ewsr1|ewsr1,0,0,0,0,0,0
gene-rhbdd3|rhbdd3,0,0,0,0,0,0
gene-emid1|emid1,0,0,0,0,0,0
gene-cryba4|cryba4,0,0,0,0,0,0
gene-git2|git2,0,0,0,0,0,0
gene-mn1|mn1,4,2,0,0,3,0
gene-smarcb1|smarcb1,35,26,13,23,14,28
gene-cit|cit,0,0,0,0,0,0
gene-hic2|hic2,0,0,0,0,0,0
gene-ube2l3|ube2l3,0,0,0,0,0,0
gene-cabin1|cabin1,0,0,0,0,0,0
gene-ptprd|ptprd,0,0,0,0,0,0
gene-ttc28|ttc28,0,0,0,0,0,0
gene-LOC116408566|LOC116408566,5,3,3,3,0,2
gene-dgcr8|dgcr8,13,26,13,0,19,11
gene-ran|ran,0,0,0,0,0,0
gene-fbrsl1|fbrsl1,0,17,0,0,15,0
gene-clip1|clip1,0,0,0,0,0,4
gene-atxn2|atxn2,0,6,0,0,4,3
gene-stx2|stx2,0,0,0,0,0,0
gene-rimbp2|rimbp2,0,0,0,0,0,0
gene-mapkapk5|mapkapk5,0,0,0,0,0,0
gene-pitpnm2|pitpnm2,0,0,0,0,0,0
gene-ncor2|ncor2,7,0,6,10,0,14
gene-LOC116408544|LOC116408544,0,0,0,0,0,0
gene-hectd4|hectd4,0,0,0,0,0,0
gene-taok3|taok3,171,173,96,119,101,174
gene-znf608|znf608,0,0,8,0,0,10
gene-csnk1g3|csnk1g3,22,17,0,0,15,20
gene-nrep|nrep,0,0,0,0,0,0
gene-camk4|camk4,0,0,0,0,0,0
gene-commd10|commd10,0,0,0,0,0,0
gene-ppip5k2|ppip5k2,0,0,0,0,0,0
gene-pam|pam,0,0,0,0,0,0
gene-efna5|efna5,0,0,0,0,0,0
gene-nr2f1|nr2f1,0,0,0,0,0,0
gene-ssbp2|ssbp2,0,0,0,0,0,0
gene-tnpo1|tnpo1,21,19,8,18,18,39
gene-mef2c|mef2c,89,89,81,93,151,98
gene-LOC105948037|LOC105948037,0,0,0,0,0,0
gene-btf3|btf3,0,0,0,0,0,0
gene-pik3r1|pik3r1,0,0,0,0,0,0
gene-ap3b1|ap3b1,0,0,0,0,0,0
gene-zswim6|zswim6,0,15,0,8,0,14
gene-erbin|erbin,0,27,0,30,20,0
gene-LOC116408553|LOC116408553,2,3,1,1,2,1
gene-LOC116408528|LOC116408528,1,1,0,0,1,0
gene-LOC116408537|LOC116408537,1,2,0,0,2,2
gene-LOC116408564|LOC116408564,2,3,1,1,2,2
gene-LOC116408529|LOC116408529,1,1,0,0,1,1
gene-LOC116408489|LOC116408489,2,4,1,1,2,2
gene-map3k1|map3k1,0,0,0,0,0,0
gene-LOC116408530|LOC116408530,1,1,1,0,1,1
gene-LOC116408500|LOC116408500,2,4,1,1,3,1
gene-LOC116408511|LOC116408511,2,3,1,1,2,2
gene-LOC116408532|LOC116408532,1,1,1,0,1,1
gene-LOC116408522|LOC116408522,2,4,1,1,2,2
gene-LOC116408525|LOC116408525,3,2,0,1,2,2
gene-fst|fst,0,0,0,0,0,0
gene-slc38a9|slc38a9,0,0,0,0,0,0
gene-LOC116408542|LOC116408542,0,0,0,0,0,0
gene-LOC116408531|LOC116408531,1,0,0,0,0,0
gene-LOC116408526|LOC116408526,2,3,0,1,2,1
gene-LOC116408527|LOC116408527,3,3,0,1,2,2
gene-parp8|parp8,0,0,0,0,0,0
gene-LOC116407944|LOC116407944,0,0,0,0,0,0
gene-rictor|rictor,0,0,0,0,0,0
gene-zfr|zfr,0,0,0,0,0,0
gene-LOC116408493|LOC116408493,0,0,0,0,0,0
gene-LOC116408492|LOC116408492,0,0,0,0,0,0
gene-LOC116408494|LOC116408494,0,0,0,0,0,0
gene-nipbl|nipbl,6,12,0,0,6,7
gene-pde4d|pde4d,7,5,0,0,0,0
gene-mbd2|mbd2,0,0,0,0,0,0
gene-smad2|smad2,0,0,0,0,0,0
gene-atp5f1a|atp5f1a,0,0,0,0,0,0
gene-tcf4|tcf4,0,0,0,0,0,0
gene-LOC116408142|LOC116408142,0,0,0,0,0,0
gene-setbp1|setbp1,0,0,0,0,0,0
gene-ubap2|ubap2,0,0,0,0,0,0
gene-LOC116408520|LOC116408520,0,0,0,0,0,0
gene-LOC116408521|LOC116408521,0,0,0,0,0,0
gene-LOC116408523|LOC116408523,0,0,0,0,0,0
gene-zbtb20|zbtb20,0,0,0,0,0,0
gene-celf4|celf4,0,0,0,0,0,0
gene-LOC116408222|LOC116408222,0,0,0,0,0,0
gene-bcl9|bcl9,0,0,0,0,0,0
gene-hmgn1|hmgn1,0,0,0,0,0,0
gene-paxbp1|paxbp1,0,0,0,0,0,0
gene-dyrk1a|dyrk1a,5,0,0,0,0,8
gene-dscam|dscam,0,0,0,0,0,0
gene-itsn1|itsn1,0,0,0,0,0,0
gene-app|app,0,0,0,0,0,0
gene-grik1|grik1,0,0,0,0,0,0
gene-LOC105946610|LOC105946610,0,0,0,0,0,0
gene-usp25|usp25,0,0,0,0,0,0
gene-gosr1|gosr1,0,0,0,0,0,0
gene-nufip2|nufip2,0,0,0,0,0,0
gene-fam222b|fam222b,0,3,0,4,0,5
gene-taok1|taok1,50,40,32,26,31,50
gene-rpa1|rpa1,21,41,23,32,29,26
gene-smg6|smg6,10,0,0,0,0,0
gene-ubb|ubb,4933,994,1473,890,1466,4177
gene-bcl7b|bcl7b,0,0,0,0,0,0
gene-tbl2|tbl2,0,0,0,0,0,0
gene-itgae|itgae,0,0,0,0,0,0
gene-trpv2|trpv2,0,0,0,0,0,0
gene-LOC101734873|LOC101734873,0,0,0,0,0,0
gene-dph1|dph1,0,0,0,0,0,0
gene-LOC116408797|LOC116408797,0,0,0,0,0,0
gene-cnksr2|cnksr2,0,0,0,0,0,0
gene-LOC116409330|LOC116409330,2,2,1,2,1,1
gene-LOC116409329|LOC116409329,2,1,1,2,1,1
gene-LOC116409331|LOC116409331,2,1,1,2,1,1
gene-LOC116409332|LOC116409332,2,1,1,1,1,1
gene-LOC116409333|LOC116409333,3,1,1,2,1,1
gene-LOC100335113|LOC100335113,1,1,1,2,1,1
gene-crk|crk,0,0,0,0,0,0
gene-LOC116409334|LOC116409334,2,1,1,1,1,1
gene-LOC116409335|LOC116409335,2,1,1,2,1,1
gene-LOC116409336|LOC116409336,2,1,1,2,1,1
gene-LOC116409337|LOC116409337,2,1,1,2,1,1
gene-LOC116409339|LOC116409339,2,1,1,1,1,1
gene-LOC116409340|LOC116409340,2,1,1,2,1,1
gene-LOC116409341|LOC116409341,2,1,1,3,1,1
gene-LOC100485552|LOC100485552,0,0,0,0,0,0
gene-ywhae|ywhae,503,561,417,515,567,549
gene-LOC116409343|LOC116409343,2,1,1,1,1,1
gene-LOC116409342|LOC116409342,2,1,1,2,1,1
gene-LOC116409344|LOC116409344,2,1,1,1,1,1
gene-LOC116409345|LOC116409345,2,1,1,1,1,1
gene-LOC116409346|LOC116409346,2,1,1,1,1,1
gene-mnt|mnt,0,0,0,0,0,0
gene-pafah1b1|pafah1b1,151,97,94,101,106,170
gene-csde1|csde1,0,0,0,0,0,0
gene-cux1|cux1,84,75,77,104,53,77
gene-hipk1|hipk1,0,0,0,0,0,0
gene-plxna2|plxna2,0,0,0,0,0,0
gene-atp1b1|atp1b1,0,0,0,0,0,0
gene-nme7|nme7,0,0,0,0,0,0
gene-kdm6a|kdm6a,118,98,73,108,110,142
gene-cask|cask,0,0,0,0,0,0
gene-gpr82|gpr82,0,0,0,0,0,0
gene-gpr34|gpr34,0,0,0,0,0,0
gene-ddx3x|ddx3x,1374,429,985,1169,468,1500
gene-rpl8|rpl8,0,0,0,0,0,0
gene-bcor|bcor,0,0,0,0,0,0
gene-usp9x|usp9x,107,79,0,72,101,115
gene-magi3|magi3,0,0,0,0,0,0
gene-mid1|mid1,4,6,0,4,0,3
gene-smpd2|smpd2,0,0,0,0,0,0
gene-LOC116408832|LOC116408832,0,0,0,0,0,0
gene-srsf1|srsf1,0,0,0,0,0,0
gene-vezf1|vezf1,0,0,0,0,0,0
gene-hmgn2|hmgn2,0,0,0,0,0,0
gene-arid1a|arid1a,0,10,0,0,0,0
gene-pou3f1|pou3f1,13,9,23,16,11,29
gene-pum1|pum1,56,60,40,37,67,71
gene-grik3|grik3,0,0,0,0,0,0
gene-LOC116408850|LOC116408850,0,0,0,0,0,0
gene-adgrb2|adgrb2,0,0,0,0,0,0
gene-srrm1|srrm1,0,29,0,11,47,0
gene-LOC116408853|LOC116408853,0,0,0,0,0,0
gene-ypel2|ypel2,0,0,0,0,0,0
gene-rnft1|rnft1,0,0,0,0,0,0
gene-cltc|cltc,0,0,0,0,0,0
gene-med13|med13,0,0,0,0,0,0
gene-vmp1|vmp1,0,0,0,0,0,0
gene-LOC116408854|LOC116408854,0,0,0,0,0,0
gene-ywhag|ywhag,38,29,33,27,28,41
gene-prr11|prr11,0,0,0,0,0,0
gene-ska2|ska2,3,3,0,3,0,3
gene-mir130a|mir130a,0,0,0,0,0,0
gene-mir301-1|mir301-1,0,0,0,0,0,0
gene-trim37|trim37,0,0,0,0,0,0
gene-LOC116409290|LOC116409290,1,0,0,0,0,0
gene-LOC116409133|LOC116409133,1,0,0,0,0,0
gene-LOC116409135|LOC116409135,1,0,0,0,0,0
gene-LOC116409155|LOC116409155,1,0,0,0,0,0
gene-LOC116409226|LOC116409226,1,0,0,0,0,0
gene-LOC116409157|LOC116409157,1,0,0,0,0,0
gene-LOC116409185|LOC116409185,1,0,0,0,0,0
gene-LOC116409242|LOC116409242,1,0,0,0,0,0
gene-LOC116409141|LOC116409141,1,0,0,0,0,0
gene-LOC116409249|LOC116409249,1,0,0,0,0,0
gene-auts2|auts2,0,0,0,0,14,3
gene-eif4h|eif4h,0,0,0,0,0,0
gene-castor2|castor2,0,0,0,0,0,0
gene-gtf2ird1|gtf2ird1,0,0,0,0,0,0
gene-ube2g1|ube2g1,125,171,147,195,132,156
gene-wsb1|wsb1,0,0,0,0,0,0
gene-tmsb4x|tmsb4x,0,0,0,0,0,0
gene-nf1|nf1,0,0,0,0,0,0
gene-evi2a|evi2a,0,0,0,0,0,0
gene-evi2b|evi2b,0,0,0,0,0,0
gene-omg|omg,0,0,0,0,0,0
gene-msi2|msi2,20,13,16,22,16,13
gene-LOC116409326|LOC116409326,0,0,0,0,0,0
gene-ube3a|ube3a,24,21,23,24,30,32
gene-mrps9|mrps9,0,0,0,0,0,0
gene-map4k4|map4k4,0,0,0,0,0,0
gene-dcun1d2|dcun1d2,0,0,0,0,0,0
gene-arhgef7|arhgef7,0,0,0,0,10,7
gene-arglu1|arglu1,0,0,0,0,0,0
gene-efnb2|efnb2,11,14,20,20,0,25
gene-fgf14|fgf14,0,0,0,0,0,0
gene-spry2|spry2,0,0,0,0,0,0
gene-dock9|dock9,0,0,0,0,0,0
gene-pcca|pcca,52,79,55,55,32,60
gene-mbnl2|mbnl2,39,39,37,35,36,37
gene-mycbp2|mycbp2,0,18,0,0,0,0
gene-lmo7|lmo7,0,0,0,0,0,0
gene-dach1|dach1,0,0,0,0,0,0
gene-pcdh17|pcdh17,0,5,6,0,0,0
gene-tsc22d1|tsc22d1,0,0,0,0,0,0
gene-acvr1b|acvr1b,0,0,0,0,0,0
gene-tuba1b|tuba1b,16,22,7,16,19,16
gene-tuba1a|tuba1a,32,47,22,36,25,29
gene-LOC100493542|LOC100493542,2,0,2,2,0,0
gene-tuba1c|tuba1c,51,38,28,41,31,35
gene-enox1|enox1,0,0,0,0,0,0
gene-rbms2|rbms2,0,0,0,0,0,0
gene-r3hdm2|r3hdm2,0,0,0,0,0,0
gene-tfcp2|tfcp2,0,0,0,0,0,0
gene-kif5a|kif5a,37,25,30,34,20,42
gene-scn8a|scn8a,0,0,0,0,0,0
gene-col2a1|col2a1,0,78,0,99,17,0
gene-hoxc11|hoxc11,0,0,0,0,0,0
gene-dip2b|dip2b,0,0,0,0,0,0
gene-hnrnpa1|hnrnpa1,0,0,0,0,0,0
gene-cbx5|cbx5,0,0,0,0,0,0
gene-pcbp3|pcbp3,0,0,0,0,0,0
gene-dclk1|dclk1,0,0,0,0,0,0
gene-pcdh9|pcdh9,0,0,0,0,0,5
gene-LOC100492167|LOC100492167,21,7,14,13,16,17
gene-ubl3|ubl3,0,0,0,0,0,0
gene-usp12|usp12,0,0,0,0,0,0
gene-fgf9|fgf9,0,0,0,0,0,0
gene-cdk8|cdk8,0,0,0,0,0,0
gene-LOC116408895|LOC116408895,0,0,0,0,0,0
gene-pspc1|pspc1,0,0,0,0,0,0
gene-xpo4|xpo4,0,0,0,0,0,0
gene-nbea|nbea,0,0,0,0,0,0
gene-mab21l1|mab21l1,2,0,2,0,0,5
gene-gria4|gria4,19,9,5,12,14,14
gene-sytl2|sytl2,0,0,0,0,0,0
gene-stim1|stim1,0,0,0,0,0,0
gene-prr5|prr5,0,0,0,0,0,0
gene-ccnd2|ccnd2,0,0,0,0,0,0
gene-erc1|erc1,0,0,0,0,0,0
gene-gria1|gria1,0,0,11,0,13,7
gene-LOC116409884|LOC116409884,0,0,0,0,0,0
gene-clint1|clint1,0,0,0,0,0,0
gene-g3bp1|g3bp1,0,0,0,0,0,0
gene-btbd11|btbd11,0,0,0,0,0,0
gene-rps14|rps14,0,0,0,0,0,0
gene-ik|ik,0,0,0,0,0,0
gene-hnrnph1|hnrnph1,201,125,191,157,98,168
gene-rbm27|rbm27,0,0,0,0,0,0
gene-csnk1a1|csnk1a1,342,260,331,468,187,421
gene-arhgap26|arhgap26,0,0,0,0,0,0
gene-sfxn1|sfxn1,0,0,0,0,0,0
gene-rpl26|rpl26,0,0,0,0,0,0
gene-ppargc1b|ppargc1b,0,0,0,0,0,0
gene-cpeb4|cpeb4,15,16,14,15,17,24
gene-faf2|faf2,0,0,0,0,0,0
gene-rnf44|rnf44,0,17,0,9,12,16
gene-LOC105946815|LOC105946815,0,0,0,0,0,0
gene-tenm2|tenm2,0,0,0,7,0,0
gene-nfyb|nfyb,0,0,0,0,0,0
gene-elk3|elk3,0,0,0,0,0,0
gene-slc25a3|slc25a3,2,0,0,2,2,0
gene-LOC116409916|LOC116409916,0,0,0,0,0,0
gene-LOC116409917|LOC116409917,0,0,0,0,0,0
gene-rps16|rps16,0,0,0,0,0,0
gene-atp2b1|atp2b1,21,32,32,43,29,34
gene-dyrk2|dyrk2,0,0,0,0,0,0
gene-cnot2|cnot2,124,188,147,184,193,197
gene-LOC100490346|LOC100490346,2,0,0,0,0,0
gene-mir135-1|mir135-1,2,0,0,1,0,0
gene-trhde|trhde,0,0,0,0,0,0
gene-arid2|arid2,12,24,13,10,13,11
gene-gpr85|gpr85,16,6,12,13,0,14
gene-nrcam|nrcam,0,0,0,0,0,0
gene-LOC116409739|LOC116409739,0,0,0,0,0,0
gene-syt1|syt1,30,25,26,26,22,27
gene-nav3|nav3,0,0,0,0,0,0
gene-mdfic|mdfic,0,0,0,0,0,0
gene-cttnbp2|cttnbp2,11,15,0,8,0,0
gene-LOC116409740|LOC116409740,0,0,0,0,0,0
gene-foxp2|foxp2,23,17,0,26,30,17
gene-gramd4|gramd4,0,0,0,0,0,0
gene-rsbn1l|rsbn1l,12,15,15,11,5,10
gene-kmt2e|kmt2e,0,0,0,0,0,0
gene-tbc1d22a|tbc1d22a,0,0,0,0,0,0
gene-LOC116409743|LOC116409743,0,0,0,0,0,0
gene-pus7|pus7,0,0,0,0,0,0
gene-srpk3|srpk3,22,21,15,16,22,22
gene-magi2|magi2,11,4,8,8,13,0
gene-LOC105946850|LOC105946850,0,0,0,0,0,0
gene-celf2|celf2,167,167,79,148,180,191
gene-LOC116409750|LOC116409750,0,0,0,0,0,0
gene-tpm1|tpm1,0,215,186,357,76,118
gene-LOC116409758|LOC116409758,0,0,0,0,0,0
gene-shank3|shank3,0,0,0,0,0,0
gene-snd1|snd1,0,0,0,0,0,0
gene-lrrc4|lrrc4,3,4,2,4,5,2
gene-LOC116409889|LOC116409889,0,0,0,0,0,0
gene-LOC116409892|LOC116409892,0,0,0,0,0,0
gene-LOC116409890|LOC116409890,0,0,0,0,0,0
gene-rps17|rps17,599,611,394,612,540,585
gene-oaz2|oaz2,0,0,0,0,0,0
gene-rbpms2|rbpms2,0,0,0,0,0,0
gene-rnf111|rnf111,0,0,0,0,0,0
gene-tjp1|tjp1,13,11,9,5,11,23
gene-LOC116409768|LOC116409768,0,0,0,0,0,0
gene-onecut1|onecut1,0,0,0,3,0,4
gene-arpp19|arpp19,0,0,0,0,0,0
gene-tcf12|tcf12,54,27,35,31,23,37
gene-myef2|myef2,0,0,0,0,0,0
gene-cops2|cops2,0,0,0,0,0,0
gene-pde8a|pde8a,0,0,0,0,0,0
gene-ppip5k1|ppip5k1,0,0,0,0,0,0
gene-rpl37a|rpl37a,0,0,0,0,0,0
gene-man2a2|man2a2,0,0,0,0,0,0
gene-arnt2|arnt2,12,0,0,0,0,0
gene-snrpa1|snrpa1,0,0,0,0,0,0
gene-rgma|rgma,0,0,0,0,0,0
gene-znf703|znf703,0,0,0,0,0,0
gene-eif3j|eif3j,0,0,0,0,0,0
gene-map2k5|map2k5,0,0,0,0,0,0
gene-mxd1|mxd1,0,0,0,0,0,0
gene-purb|purb,8,20,11,14,10,12
gene-LOC116409787|LOC116409787,0,0,0,0,0,0
gene-zmiz2|zmiz2,0,0,0,0,0,0
gene-ppp2r2a|ppp2r2a,0,0,0,0,0,0
gene-camk2b|camk2b,30,19,9,13,29,27
gene-LOC116409786|LOC116409786,0,0,0,0,0,0
gene-kat6a|kat6a,0,0,0,0,0,0
gene-LOC116409814|LOC116409814,1,0,1,0,0,0
gene-fgfr1|fgfr1,0,0,0,0,0,0
gene-LOC100495578|LOC100495578,1,0,0,1,0,0
gene-LOC100497082|LOC100497082,1,0,0,0,0,0
gene-LOC100496445|LOC100496445,1,0,0,0,0,0
gene-nsd3|nsd3,0,0,0,0,0,0
gene-trir|trir,0,0,0,0,0,0
gene-carm1|carm1,0,0,0,0,0,0
gene-tnpo2|tnpo2,5,6,5,3,0,8
gene-LOC116409865|LOC116409865,0,0,0,0,0,0
gene-LOC116409864|LOC116409864,0,0,0,0,0,0
gene-ilf3|ilf3,61,45,31,31,40,83
gene-per1|per1,0,0,0,0,0,0
gene-cacna1a|cacna1a,0,0,0,0,0,0
gene-arntl|arntl,0,0,0,0,0,0
gene-eif4g2|eif4g2,251,144,147,167,156,283
gene-LOC116410669|LOC116410669,0,0,0,0,0,0
gene-LOC116410670|LOC116410670,0,0,0,0,0,0
gene-znf143|znf143,0,0,0,0,0,0
gene-tead1|tead1,0,0,0,0,0,0
gene-madd|madd,0,0,0,0,0,0
gene-bdnf|bdnf,3,4,4,0,2,2
gene-hipk3|hipk3,0,0,0,0,3,0
gene-celf1|celf1,0,35,31,0,24,36
gene-tnnt3|tnnt3,0,0,0,0,0,0
gene-ppp6r3|ppp6r3,0,0,0,0,0,0
gene-tnni2|tnni2,0,0,0,0,0,0
gene-fau|fau,0,0,0,0,0,0
gene-acta4|acta4,0,0,0,0,0,0
gene-npas4|npas4,0,0,0,0,0,0
gene-tent4b|tent4b,0,0,0,0,0,0
gene-tppp3|tppp3,0,0,0,0,0,0
gene-sall1|sall1,0,0,0,0,0,9
gene-LOC116410390|LOC116410390,0,0,0,0,0,0
gene-maf|maf,63,40,49,62,35,72
gene-nrxn2|nrxn2,0,0,0,0,0,0
gene-znf423|znf423,0,0,0,0,0,0
gene-gnao1|gnao1,0,0,0,0,0,0
gene-cdh11|cdh11,0,0,0,0,0,8
gene-nfat5|nfat5,6,0,0,4,0,5
gene-ankrd11|ankrd11,0,0,0,0,0,0
gene-zfhx3|zfhx3,0,11,0,10,16,20
gene-LOC105947251|LOC105947251,0,0,0,0,0,0
gene-tshz3|tshz3,0,0,0,0,0,0
gene-wwox|wwox,3,0,0,4,0,0
gene-cnot1|cnot1,0,0,0,0,0,0
gene-fubp1|fubp1,28,14,12,18,19,21
gene-srsf11|srsf11,0,0,0,0,0,0
gene-adgrl2|adgrl2,0,9,6,8,0,0
gene-negr1|negr1,0,0,0,0,0,0
gene-LOC116410417|LOC116410417,0,0,0,0,0,0
gene-elavl4|elavl4,77,81,49,107,78,70
gene-smg7|smg7,0,0,0,0,0,0
gene-rc3h1|rc3h1,6,8,6,11,9,8
gene-ptbp2|ptbp2,0,0,0,0,0,0
gene-znf644|znf644,0,0,0,0,0,0
gene-znf326|znf326,0,0,0,0,0,0
gene-lmo4.1|lmo4.1,0,0,0,0,0,0
gene-hs2st1|hs2st1,0,0,0,0,0,0
gene-pbx1|pbx1,27,32,28,29,31,54
gene-cacna1e|cacna1e,0,0,0,0,0,0
gene-vav3|vav3,0,0,0,0,0,0
gene-col5a3|col5a3,0,12,0,10,0,0
gene-rbfox2|rbfox2,0,16,0,0,0,0
gene-LOC108647464|LOC108647464,0,0,0,0,0,0
gene-elfn2|elfn2,0,0,0,0,0,0
gene-cacng2|cacng2,0,0,0,0,0,0
gene-tnrc6b|tnrc6b,43,24,16,24,17,48
gene-rbm5|rbm5,74,0,0,0,0,61
gene-atp2b2|atp2b2,0,0,0,0,0,0
gene-cacna2d2|cacna2d2,0,0,0,0,0,0
gene-slc6a6|slc6a6,0,0,0,0,0,0
gene-cntn4|cntn4,0,0,0,0,0,0
gene-setd5|setd5,0,0,0,0,0,0
gene-foxp1|foxp1,0,0,0,0,0,0
gene-slmap|slmap,0,0,0,0,0,0
gene-cnbp|cnbp,0,0,0,0,0,0
gene-cadps|cadps,0,0,0,0,0,0
gene-ypel5|ypel5,0,0,0,0,0,0
gene-prox1|prox1,7,12,4,13,14,10
gene-esrrg|esrrg,6,14,0,0,0,0
gene-rps6kc1|rps6kc1,0,0,0,0,0,0
gene-rcor3|rcor3,0,0,0,0,0,10
gene-six3|six3,0,0,0,0,0,0
gene-fbxo11|fbxo11,34,36,27,0,36,27
gene-psme4|psme4,0,0,0,0,0,0
gene-rps27a|rps27a,0,0,0,0,0,0
gene-napb|napb,0,0,0,0,0,0
gene-nrxn1|nrxn1,0,0,12,0,0,0
gene-jag1|jag1,0,0,0,0,0,0
gene-snap25|snap25,154,126,118,162,131,134
gene-LOC116411108|LOC116411108,0,0,0,0,0,0
gene-ppp3r1|ppp3r1,0,0,0,0,0,0
gene-kif16b|kif16b,0,0,0,0,0,0
gene-actr2|actr2,0,0,0,0,0,0
gene-rab1a|rab1a,0,0,0,0,0,0
gene-meis1|meis1,34,59,35,43,90,42
gene-xpo1|xpo1,310,92,160,194,61,184
gene-ccdc85a|ccdc85a,0,0,0,0,0,0
gene-usp34|usp34,0,0,0,0,0,0
gene-ehbp1|ehbp1,0,0,0,0,0,0
gene-kiz|kiz,13,0,6,0,0,0
gene-LOC116410808|LOC116410808,0,0,0,0,0,0
gene-bcl11a|bcl11a,56,92,31,78,100,47
gene-cfap61|cfap61,0,0,0,0,0,0
gene-wtap|wtap,0,0,0,54,40,0
gene-hnrnpu|hnrnpu,0,0,0,0,0,0
gene-ttc13|ttc13,0,0,0,0,0,0
gene-slc8a1|slc8a1,0,0,0,0,0,0
