Gene stable ID,NCBI gene (formerly Entrezgene) ID,Gene stable ID,HGNC symbol
ENSXETG00000041453,116411296,ENSG00000278457,
ENSXETG00000041453,116411295,ENSG00000278457,
ENSXETG00000041453,116411294,ENSG00000278457,
ENSXETG00000041453,116411291,ENSG00000278457,
ENSXETG00000041453,116411280,ENSG00000278457,
ENSXETG00000041453,116411269,ENSG00000278457,
ENSXETG00000041453,116411258,ENSG00000278457,
ENSXETG00000041453,116411252,ENSG00000278457,
ENSXETG00000041453,116411242,ENSG00000278457,
ENSXETG00000041453,116411236,ENSG00000278457,
ENSXETG00000041453,116411230,ENSG00000278457,
ENSXETG00000041453,116411219,ENSG00000278457,
ENSXETG00000041453,116411208,ENSG00000278457,
ENSXETG00000041453,116411197,ENSG00000278457,
ENSXETG00000041453,116411186,ENSG00000278457,
ENSXETG00000041453,116411175,ENSG00000278457,
ENSXETG00000041453,116411164,ENSG00000278457,
ENSXETG00000041453,116411154,ENSG00000278457,
ENSXETG00000041453,116411153,ENSG00000278457,
ENSXETG00000041453,116411152,ENSG00000278457,
ENSXETG00000041453,116411151,ENSG00000278457,
ENSXETG00000041453,116411150,ENSG00000278457,
ENSXETG00000041453,116411149,ENSG00000278457,
ENSXETG00000041453,116411148,ENSG00000278457,
ENSXETG00000041453,116411147,ENSG00000278457,
ENSXETG00000041453,116411146,ENSG00000278457,
ENSXETG00000041453,116411145,ENSG00000278457,
ENSXETG00000041453,116411144,ENSG00000278457,
ENSXETG00000041453,116411142,ENSG00000278457,
ENSXETG00000041453,116411143,ENSG00000278457,
ENSXETG00000041453,116411141,ENSG00000278457,
ENSXETG00000041453,116411140,ENSG00000278457,
ENSXETG00000041453,116411139,ENSG00000278457,
ENSXETG00000041453,116411138,ENSG00000278457,
ENSXETG00000041453,116411136,ENSG00000278457,
ENSXETG00000041453,116411137,ENSG00000278457,
ENSXETG00000041453,116411135,ENSG00000278457,
ENSXETG00000041453,116411134,ENSG00000278457,
ENSXETG00000041453,116411133,ENSG00000278457,
ENSXETG00000041453,116411132,ENSG00000278457,
ENSXETG00000041453,116411130,ENSG00000278457,
ENSXETG00000041453,116411131,ENSG00000278457,
ENSXETG00000041453,116411129,ENSG00000278457,
ENSXETG00000041453,116411128,ENSG00000278457,
ENSXETG00000041453,116411127,ENSG00000278457,
ENSXETG00000041453,116411126,ENSG00000278457,
ENSXETG00000041453,116411125,ENSG00000278457,
ENSXETG00000041453,116408945,ENSG00000278457,
ENSXETG00000034383,3283501,ENSG00000198886,MT-ND4
ENSXETG00000041476,116411892,ENSG00000278457,
ENSXETG00000041476,116411885,ENSG00000278457,
ENSXETG00000041476,116411886,ENSG00000278457,
ENSXETG00000041476,116411884,ENSG00000278457,
ENSXETG00000041476,116411883,ENSG00000278457,
ENSXETG00000041476,116411882,ENSG00000278457,
ENSXETG00000041476,116411881,ENSG00000278457,
ENSXETG00000041476,116411880,ENSG00000278457,
ENSXETG00000041476,116411878,ENSG00000278457,
ENSXETG00000041476,116411879,ENSG00000278457,
ENSXETG00000041476,116411877,ENSG00000278457,
ENSXETG00000041476,116411876,ENSG00000278457,
ENSXETG00000041476,116411875,ENSG00000278457,
ENSXETG00000041476,116411874,ENSG00000278457,
ENSXETG00000041476,116411873,ENSG00000278457,
ENSXETG00000041476,116411872,ENSG00000278457,
ENSXETG00000041476,116411871,ENSG00000278457,
ENSXETG00000041476,116411870,ENSG00000278457,
ENSXETG00000041476,116411868,ENSG00000278457,
ENSXETG00000041476,116411869,ENSG00000278457,
ENSXETG00000041476,116411867,ENSG00000278457,
ENSXETG00000041476,116411866,ENSG00000278457,
ENSXETG00000041476,116411865,ENSG00000278457,
ENSXETG00000041476,116411864,ENSG00000278457,
ENSXETG00000041476,116411863,ENSG00000278457,
ENSXETG00000041476,116411861,ENSG00000278457,
ENSXETG00000041476,116411862,ENSG00000278457,
ENSXETG00000041476,116411859,ENSG00000278457,
ENSXETG00000041476,116411857,ENSG00000278457,
ENSXETG00000041476,116411858,ENSG00000278457,
ENSXETG00000041476,116411856,ENSG00000278457,
ENSXETG00000041476,116411845,ENSG00000278457,
ENSXETG00000041476,116411834,ENSG00000278457,
ENSXETG00000041476,116411823,ENSG00000278457,
ENSXETG00000041476,116411812,ENSG00000278457,
ENSXETG00000034390,3283504,ENSG00000198727,MT-CYB
ENSXETG00000041476,116411801,ENSG00000278457,
ENSXETG00000041476,116411790,ENSG00000278457,
ENSXETG00000041774,116409383,ENSG00000278457,
ENSXETG00000042008,116411325,ENSG00000278457,
ENSXETG00000042008,116411324,ENSG00000278457,
ENSXETG00000042008,116411323,ENSG00000278457,
ENSXETG00000042008,116411321,ENSG00000278457,
ENSXETG00000042008,116411322,ENSG00000278457,
ENSXETG00000042008,116411320,ENSG00000278457,
ENSXETG00000042008,116411319,ENSG00000278457,
ENSXETG00000042008,116411318,ENSG00000278457,
ENSXETG00000042008,116411317,ENSG00000278457,
ENSXETG00000042008,116411316,ENSG00000278457,
ENSXETG00000042008,116411315,ENSG00000278457,
ENSXETG00000042008,116411314,ENSG00000278457,
ENSXETG00000042008,116411313,ENSG00000278457,
ENSXETG00000042008,116411311,ENSG00000278457,
ENSXETG00000042008,116411312,ENSG00000278457,
ENSXETG00000042008,116411310,ENSG00000278457,
ENSXETG00000042008,116411309,ENSG00000278457,
ENSXETG00000042008,116411308,ENSG00000278457,
ENSXETG00000042008,116411307,ENSG00000278457,
ENSXETG00000042008,116411306,ENSG00000278457,
ENSXETG00000042008,116411304,ENSG00000278457,
ENSXETG00000042008,116411305,ENSG00000278457,
ENSXETG00000042008,116411303,ENSG00000278457,
ENSXETG00000042008,116411302,ENSG00000278457,
ENSXETG00000042008,116411301,ENSG00000278457,
ENSXETG00000042008,116411300,ENSG00000278457,
ENSXETG00000042008,116411299,ENSG00000278457,
ENSXETG00000042008,116411298,ENSG00000278457,
ENSXETG00000042008,116411297,ENSG00000278457,
ENSXETG00000042008,116411296,ENSG00000278457,
ENSXETG00000042008,116411295,ENSG00000278457,
ENSXETG00000042008,116411294,ENSG00000278457,
ENSXETG00000042008,116411291,ENSG00000278457,
ENSXETG00000042008,116411280,ENSG00000278457,
ENSXETG00000042008,116411269,ENSG00000278457,
ENSXETG00000042008,116411258,ENSG00000278457,
ENSXETG00000042008,116411252,ENSG00000278457,
ENSXETG00000042008,116411242,ENSG00000278457,
ENSXETG00000042008,116411236,ENSG00000278457,
ENSXETG00000042008,116411230,ENSG00000278457,
ENSXETG00000042008,116411219,ENSG00000278457,
ENSXETG00000042008,116411208,ENSG00000278457,
ENSXETG00000042008,116411197,ENSG00000278457,
ENSXETG00000042008,116411186,ENSG00000278457,
ENSXETG00000042008,116411175,ENSG00000278457,
ENSXETG00000042008,116411164,ENSG00000278457,
ENSXETG00000042008,116411154,ENSG00000278457,
ENSXETG00000042008,116411153,ENSG00000278457,
ENSXETG00000042008,116411152,ENSG00000278457,
ENSXETG00000042008,116411151,ENSG00000278457,
ENSXETG00000042008,116411150,ENSG00000278457,
ENSXETG00000042008,116411149,ENSG00000278457,
ENSXETG00000042008,116411148,ENSG00000278457,
ENSXETG00000042008,116411147,ENSG00000278457,
ENSXETG00000042008,116411146,ENSG00000278457,
ENSXETG00000042008,116411145,ENSG00000278457,
ENSXETG00000042008,116411144,ENSG00000278457,
ENSXETG00000042008,116411142,ENSG00000278457,
ENSXETG00000042008,116411143,ENSG00000278457,
ENSXETG00000042008,116411141,ENSG00000278457,
ENSXETG00000042008,116411140,ENSG00000278457,
ENSXETG00000042008,116411139,ENSG00000278457,
ENSXETG00000042008,116411138,ENSG00000278457,
ENSXETG00000042008,116411136,ENSG00000278457,
ENSXETG00000042008,116411137,ENSG00000278457,
ENSXETG00000042008,116411135,ENSG00000278457,
ENSXETG00000042008,116411134,ENSG00000278457,
ENSXETG00000041960,116411799,ENSG00000278457,
ENSXETG00000041960,116411798,ENSG00000278457,
ENSXETG00000041756,116408990,ENSG00000278457,
ENSXETG00000041909,116411897,ENSG00000278457,
ENSXETG00000041909,116411896,ENSG00000278457,
ENSXETG00000041909,116411895,ENSG00000278457,
ENSXETG00000041909,116411894,ENSG00000278457,
ENSXETG00000041909,116411893,ENSG00000278457,
ENSXETG00000041909,116411891,ENSG00000278457,
ENSXETG00000041909,116411890,ENSG00000278457,
ENSXETG00000041909,116411889,ENSG00000278457,
ENSXETG00000041909,116411887,ENSG00000278457,
ENSXETG00000041909,116411888,ENSG00000278457,
ENSXETG00000041759,116411892,ENSG00000278457,
ENSXETG00000041759,116411885,ENSG00000278457,
ENSXETG00000041759,116411886,ENSG00000278457,
ENSXETG00000041759,116411884,ENSG00000278457,
ENSXETG00000041759,116411883,ENSG00000278457,
ENSXETG00000041759,116411882,ENSG00000278457,
ENSXETG00000041759,116411881,ENSG00000278457,
ENSXETG00000041759,116411880,ENSG00000278457,
ENSXETG00000041759,116411878,ENSG00000278457,
ENSXETG00000041759,116411879,ENSG00000278457,
ENSXETG00000041759,116411877,ENSG00000278457,
ENSXETG00000041759,116411876,ENSG00000278457,
ENSXETG00000041759,116411875,ENSG00000278457,
ENSXETG00000041759,116411874,ENSG00000278457,
ENSXETG00000041759,116411873,ENSG00000278457,
ENSXETG00000041759,116411872,ENSG00000278457,
ENSXETG00000041759,116411871,ENSG00000278457,
ENSXETG00000041759,116411870,ENSG00000278457,
ENSXETG00000041759,116411868,ENSG00000278457,
ENSXETG00000041759,116411869,ENSG00000278457,
ENSXETG00000041759,116411867,ENSG00000278457,
ENSXETG00000041759,116411866,ENSG00000278457,
ENSXETG00000041759,116411865,ENSG00000278457,
ENSXETG00000041759,116411864,ENSG00000278457,
ENSXETG00000041759,116411863,ENSG00000278457,
ENSXETG00000041759,116411861,ENSG00000278457,
ENSXETG00000041759,116411862,ENSG00000278457,
ENSXETG00000041759,116411859,ENSG00000278457,
ENSXETG00000041759,116411857,ENSG00000278457,
ENSXETG00000041759,116411858,ENSG00000278457,
ENSXETG00000041759,116411856,ENSG00000278457,
ENSXETG00000041759,116411845,ENSG00000278457,
ENSXETG00000041759,116411834,ENSG00000278457,
ENSXETG00000041759,116411823,ENSG00000278457,
ENSXETG00000041759,116411812,ENSG00000278457,
ENSXETG00000041759,116411801,ENSG00000278457,
ENSXETG00000041759,116411790,ENSG00000278457,
ENSXETG00000041985,116408977,ENSG00000278457,
ENSXETG00000041654,116409366,ENSG00000278457,
ENSXETG00000041654,116408951,ENSG00000278457,
ENSXETG00000041722,116411325,ENSG00000278457,
ENSXETG00000041722,116411324,ENSG00000278457,
ENSXETG00000041722,116411323,ENSG00000278457,
ENSXETG00000041722,116411321,ENSG00000278457,
ENSXETG00000041722,116411322,ENSG00000278457,
ENSXETG00000041722,116411320,ENSG00000278457,
ENSXETG00000041722,116411319,ENSG00000278457,
ENSXETG00000041722,116411318,ENSG00000278457,
ENSXETG00000041722,116411317,ENSG00000278457,
ENSXETG00000041722,116411316,ENSG00000278457,
ENSXETG00000041722,116411315,ENSG00000278457,
ENSXETG00000041722,116411314,ENSG00000278457,
ENSXETG00000041722,116411313,ENSG00000278457,
ENSXETG00000041722,116411311,ENSG00000278457,
ENSXETG00000041722,116411312,ENSG00000278457,
ENSXETG00000041722,116411310,ENSG00000278457,
ENSXETG00000041722,116411309,ENSG00000278457,
ENSXETG00000041722,116411308,ENSG00000278457,
ENSXETG00000041722,116411307,ENSG00000278457,
ENSXETG00000041722,116411306,ENSG00000278457,
ENSXETG00000041722,116411304,ENSG00000278457,
ENSXETG00000041722,116411305,ENSG00000278457,
ENSXETG00000041722,116411303,ENSG00000278457,
ENSXETG00000041722,116411302,ENSG00000278457,
ENSXETG00000041722,116411301,ENSG00000278457,
ENSXETG00000041722,116411300,ENSG00000278457,
ENSXETG00000041722,116411299,ENSG00000278457,
ENSXETG00000041722,116411298,ENSG00000278457,
ENSXETG00000041722,116411297,ENSG00000278457,
ENSXETG00000041722,116411296,ENSG00000278457,
ENSXETG00000041722,116411295,ENSG00000278457,
ENSXETG00000041722,116411294,ENSG00000278457,
ENSXETG00000041722,116411291,ENSG00000278457,
ENSXETG00000041722,116411280,ENSG00000278457,
ENSXETG00000041722,116411269,ENSG00000278457,
ENSXETG00000041722,116411258,ENSG00000278457,
ENSXETG00000041722,116411252,ENSG00000278457,
ENSXETG00000041722,116411242,ENSG00000278457,
ENSXETG00000041722,116411236,ENSG00000278457,
ENSXETG00000041722,116411230,ENSG00000278457,
ENSXETG00000041722,116411219,ENSG00000278457,
ENSXETG00000041722,116411208,ENSG00000278457,
ENSXETG00000041722,116411197,ENSG00000278457,
ENSXETG00000041722,116411186,ENSG00000278457,
ENSXETG00000041722,116411175,ENSG00000278457,
ENSXETG00000041722,116411164,ENSG00000278457,
ENSXETG00000041722,116411154,ENSG00000278457,
ENSXETG00000041722,116411153,ENSG00000278457,
ENSXETG00000041722,116411152,ENSG00000278457,
ENSXETG00000041722,116411151,ENSG00000278457,
ENSXETG00000041722,116411150,ENSG00000278457,
ENSXETG00000041722,116411149,ENSG00000278457,
ENSXETG00000041722,116411148,ENSG00000278457,
ENSXETG00000041722,116411147,ENSG00000278457,
ENSXETG00000041722,116411146,ENSG00000278457,
ENSXETG00000041722,116411145,ENSG00000278457,
ENSXETG00000041722,116411144,ENSG00000278457,
ENSXETG00000041722,116411142,ENSG00000278457,
ENSXETG00000041722,116411143,ENSG00000278457,
ENSXETG00000041722,116411141,ENSG00000278457,
ENSXETG00000041722,116411140,ENSG00000278457,
ENSXETG00000041722,116411139,ENSG00000278457,
ENSXETG00000041722,116411138,ENSG00000278457,
ENSXETG00000041722,116411136,ENSG00000278457,
ENSXETG00000041722,116411137,ENSG00000278457,
ENSXETG00000041722,116411135,ENSG00000278457,
ENSXETG00000041722,116411134,ENSG00000278457,
ENSXETG00000041722,116411133,ENSG00000278457,
ENSXETG00000041722,116411132,ENSG00000278457,
ENSXETG00000041722,116411130,ENSG00000278457,
ENSXETG00000041722,116411131,ENSG00000278457,
ENSXETG00000041722,116411129,ENSG00000278457,
ENSXETG00000041722,116411128,ENSG00000278457,
ENSXETG00000041722,116411127,ENSG00000278457,
ENSXETG00000041722,116411126,ENSG00000278457,
ENSXETG00000041722,116411125,ENSG00000278457,
ENSXETG00000041722,116408945,ENSG00000278457,
ENSXETG00000042127,116411325,ENSG00000278457,
ENSXETG00000042127,116411324,ENSG00000278457,
ENSXETG00000042127,116411323,ENSG00000278457,
ENSXETG00000042127,116411321,ENSG00000278457,
ENSXETG00000042127,116411322,ENSG00000278457,
ENSXETG00000042127,116411320,ENSG00000278457,
ENSXETG00000042127,116411319,ENSG00000278457,
ENSXETG00000042127,116411318,ENSG00000278457,
ENSXETG00000042127,116411317,ENSG00000278457,
ENSXETG00000042127,116411316,ENSG00000278457,
ENSXETG00000042127,116411315,ENSG00000278457,
ENSXETG00000042127,116411314,ENSG00000278457,
ENSXETG00000042127,116411313,ENSG00000278457,
ENSXETG00000042127,116411311,ENSG00000278457,
ENSXETG00000042127,116411312,ENSG00000278457,
ENSXETG00000042127,116411310,ENSG00000278457,
ENSXETG00000042127,116411309,ENSG00000278457,
ENSXETG00000042127,116411308,ENSG00000278457,
ENSXETG00000042127,116411307,ENSG00000278457,
ENSXETG00000042127,116411306,ENSG00000278457,
ENSXETG00000042127,116411304,ENSG00000278457,
ENSXETG00000042127,116411305,ENSG00000278457,
ENSXETG00000042127,116411303,ENSG00000278457,
ENSXETG00000042127,116411302,ENSG00000278457,
ENSXETG00000042127,116411301,ENSG00000278457,
ENSXETG00000042127,116411300,ENSG00000278457,
ENSXETG00000042127,116411299,ENSG00000278457,
ENSXETG00000042127,116411298,ENSG00000278457,
ENSXETG00000042127,116411297,ENSG00000278457,
ENSXETG00000042127,116411296,ENSG00000278457,
ENSXETG00000042127,116411295,ENSG00000278457,
ENSXETG00000042127,116411294,ENSG00000278457,
ENSXETG00000042127,116411291,ENSG00000278457,
ENSXETG00000042127,116411280,ENSG00000278457,
ENSXETG00000042127,116411269,ENSG00000278457,
ENSXETG00000042127,116411258,ENSG00000278457,
ENSXETG00000042127,116411252,ENSG00000278457,
ENSXETG00000042127,116411242,ENSG00000278457,
ENSXETG00000042127,116411236,ENSG00000278457,
ENSXETG00000042127,116411230,ENSG00000278457,
ENSXETG00000042127,116411219,ENSG00000278457,
ENSXETG00000042127,116411208,ENSG00000278457,
ENSXETG00000042127,116411197,ENSG00000278457,
ENSXETG00000042127,116411186,ENSG00000278457,
ENSXETG00000042127,116411175,ENSG00000278457,
ENSXETG00000042127,116411164,ENSG00000278457,
ENSXETG00000042127,116411154,ENSG00000278457,
ENSXETG00000042127,116411153,ENSG00000278457,
ENSXETG00000042127,116411152,ENSG00000278457,
ENSXETG00000042127,116411151,ENSG00000278457,
ENSXETG00000042127,116411150,ENSG00000278457,
ENSXETG00000042127,116411149,ENSG00000278457,
ENSXETG00000042127,116411148,ENSG00000278457,
ENSXETG00000042127,116411147,ENSG00000278457,
ENSXETG00000042127,116411146,ENSG00000278457,
ENSXETG00000042127,116411145,ENSG00000278457,
ENSXETG00000042127,116411144,ENSG00000278457,
ENSXETG00000042127,116411142,ENSG00000278457,
ENSXETG00000042127,116411143,ENSG00000278457,
ENSXETG00000042127,116411141,ENSG00000278457,
ENSXETG00000042127,116411140,ENSG00000278457,
ENSXETG00000042127,116411139,ENSG00000278457,
ENSXETG00000042127,116411138,ENSG00000278457,
ENSXETG00000042127,116411136,ENSG00000278457,
ENSXETG00000042127,116411137,ENSG00000278457,
ENSXETG00000042127,116411135,ENSG00000278457,
ENSXETG00000042127,116411134,ENSG00000278457,
ENSXETG00000042127,116411133,ENSG00000278457,
ENSXETG00000042127,116411132,ENSG00000278457,
ENSXETG00000042127,116411130,ENSG00000278457,
ENSXETG00000042127,116411131,ENSG00000278457,
ENSXETG00000042127,116411129,ENSG00000278457,
ENSXETG00000042127,116411128,ENSG00000278457,
ENSXETG00000042127,116411127,ENSG00000278457,
ENSXETG00000042127,116411126,ENSG00000278457,
ENSXETG00000042127,116411125,ENSG00000278457,
ENSXETG00000042127,116408945,ENSG00000278457,
ENSXETG00000042250,116411892,ENSG00000278457,
ENSXETG00000042250,116411885,ENSG00000278457,
ENSXETG00000042250,116411886,ENSG00000278457,
ENSXETG00000042250,116411884,ENSG00000278457,
ENSXETG00000042250,116411883,ENSG00000278457,
ENSXETG00000042250,116411882,ENSG00000278457,
ENSXETG00000042250,116411881,ENSG00000278457,
ENSXETG00000042250,116411880,ENSG00000278457,
ENSXETG00000042250,116411878,ENSG00000278457,
ENSXETG00000042250,116411879,ENSG00000278457,
ENSXETG00000042250,116411877,ENSG00000278457,
ENSXETG00000042250,116411876,ENSG00000278457,
ENSXETG00000042250,116411875,ENSG00000278457,
ENSXETG00000042250,116411874,ENSG00000278457,
ENSXETG00000042250,116411873,ENSG00000278457,
ENSXETG00000042250,116411872,ENSG00000278457,
ENSXETG00000042250,116411871,ENSG00000278457,
ENSXETG00000042250,116411870,ENSG00000278457,
ENSXETG00000042250,116411868,ENSG00000278457,
ENSXETG00000042250,116411869,ENSG00000278457,
ENSXETG00000042250,116411867,ENSG00000278457,
ENSXETG00000042250,116411866,ENSG00000278457,
ENSXETG00000042250,116411865,ENSG00000278457,
ENSXETG00000042250,116411864,ENSG00000278457,
ENSXETG00000042250,116411863,ENSG00000278457,
ENSXETG00000042250,116411861,ENSG00000278457,
ENSXETG00000042250,116411862,ENSG00000278457,
ENSXETG00000042250,116411859,ENSG00000278457,
ENSXETG00000042250,116411857,ENSG00000278457,
ENSXETG00000042250,116411858,ENSG00000278457,
ENSXETG00000042250,116411856,ENSG00000278457,
ENSXETG00000042250,116411845,ENSG00000278457,
ENSXETG00000042250,116411834,ENSG00000278457,
ENSXETG00000042250,116411823,ENSG00000278457,
ENSXETG00000042250,116411812,ENSG00000278457,
ENSXETG00000042250,116411801,ENSG00000278457,
ENSXETG00000042250,116411790,ENSG00000278457,
ENSXETG00000042305,116411897,ENSG00000278457,
ENSXETG00000042305,116411896,ENSG00000278457,
ENSXETG00000042305,116411895,ENSG00000278457,
ENSXETG00000042305,116411894,ENSG00000278457,
ENSXETG00000042305,116411893,ENSG00000278457,
ENSXETG00000042198,116411325,ENSG00000278457,
ENSXETG00000042198,116411324,ENSG00000278457,
ENSXETG00000042198,116411323,ENSG00000278457,
ENSXETG00000042198,116411321,ENSG00000278457,
ENSXETG00000042198,116411322,ENSG00000278457,
ENSXETG00000042198,116411320,ENSG00000278457,
ENSXETG00000042198,116411319,ENSG00000278457,
ENSXETG00000042198,116411318,ENSG00000278457,
ENSXETG00000042198,116411317,ENSG00000278457,
ENSXETG00000042198,116411316,ENSG00000278457,
ENSXETG00000042198,116411315,ENSG00000278457,
ENSXETG00000042198,116411314,ENSG00000278457,
ENSXETG00000042198,116411313,ENSG00000278457,
ENSXETG00000042198,116411311,ENSG00000278457,
ENSXETG00000042198,116411312,ENSG00000278457,
ENSXETG00000042198,116411310,ENSG00000278457,
ENSXETG00000042198,116411309,ENSG00000278457,
ENSXETG00000042198,116411308,ENSG00000278457,
ENSXETG00000042198,116411307,ENSG00000278457,
ENSXETG00000042198,116411306,ENSG00000278457,
ENSXETG00000042198,116411304,ENSG00000278457,
ENSXETG00000042198,116411305,ENSG00000278457,
ENSXETG00000042198,116411303,ENSG00000278457,
ENSXETG00000042198,116411302,ENSG00000278457,
ENSXETG00000042198,116411301,ENSG00000278457,
ENSXETG00000042198,116411300,ENSG00000278457,
ENSXETG00000042198,116411299,ENSG00000278457,
ENSXETG00000042198,116411298,ENSG00000278457,
ENSXETG00000042198,116411297,ENSG00000278457,
ENSXETG00000042198,116411296,ENSG00000278457,
ENSXETG00000042198,116411295,ENSG00000278457,
ENSXETG00000042198,116411294,ENSG00000278457,
ENSXETG00000042198,116411291,ENSG00000278457,
ENSXETG00000042198,116411280,ENSG00000278457,
